comment_id,post_id,comment_text,published_at,like_count,reply_count,author_id,author_name,title_youtube,source_query,crawled_at
UgyMTESX9O4dZitcaTx4AaABAg,XjdpRqIay6E,This was such a mess omg... I LOVE IT!,2025-10-12T19:31:05Z,413,0,UCIYHthZg_WzrPLzKJwuZhfg,@T.o.m.m.y.G,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
Ugy9_-jwdpXl4jcR0Ol4AaABAg,XjdpRqIay6E,Billie eilish  sounds  like when  she was a kid,2025-12-04T05:19:26Z,209,0,UCsyDTly2l5J55D1KtqlQcYw,@ÌsabelleNieves-w4t,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
Ugzvc2oEZ34lZLh6U_t4AaABAg,XjdpRqIay6E,They needed to turn Billie’s mic up more,2026-04-12T19:54:15Z,33,0,UC8H4rYLBnuwEb2SMcojaE4Q,@Lil_Avocado-Be01,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgyhgAjxRgw-xZYz8zB4AaABAg,XjdpRqIay6E,Im so glad the USA got to live the British 00s house party,2025-11-18T20:15:46Z,193,7,UCevMIsjoQQyLxzNi_ledabA,@edendixon5645,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgxDNxTHPyXY1QbslKZ4AaABAg,XjdpRqIay6E,Why does billie not sound like billie😭,2025-12-29T10:13:43Z,140,5,UCOJ05bkEhe3oGO_bZWQgN0A,@Mxkrantss,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
Ugwk0xv-imk_xViaFkZ4AaABAg,XjdpRqIay6E,WATCHING IT LIVE WAS SUCH A VIBE,2026-04-21T21:37:26Z,2,0,UCZzf-6WSVvE7gCR4MMboT1Q,@sarahtrojan,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgxCCb6tned_ClhPLUJ4AaABAg,XjdpRqIay6E,Still so made I didn’t stay for this 😭,2025-11-04T18:27:05Z,73,0,UCOjV4TCFdEiTWyPvyC0PxQA,@Adriana.8527,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgwSiaRGCarkglnruDl4AaABAg,XjdpRqIay6E,The voice Billie chose for this she knew what she was doing ahaha,2026-04-19T18:54:29Z,6,0,UC2rj2WSwGxFlNZOcq1qHNGA,@kaylastokes618,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
Ugwl694IBNMMPK_b7sJ4AaABAg,XjdpRqIay6E,Darn Billie and Charli should collab more,2026-03-06T00:58:04Z,22,0,UCO_RkXs_ZUKuhk1aN7GNa1Q,@Natalia-h1i5m,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
Ugw3szjasgy2lcSH1PJ4AaABAg,XjdpRqIay6E,Billie omggg,2026-01-20T07:37:17Z,16,0,UCB5UBPLdYjJyMn2TzdKf18Q,@sturniologirl_4ever,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgwkAU2vVjwoqAtnKgV4AaABAg,XjdpRqIay6E,I love it this is my favorite song period,2025-12-30T15:46:01Z,10,0,UCEtMHNNw2pzdwet3ZPnyB7A,@JordanGarcia-j1h,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgxkohLe5a9b7Qrlkvp4AaABAg,XjdpRqIay6E,bad guy billie would&#39;ve blown away by this,2026-04-12T14:50:18Z,4,0,UCGF0JqwDgVSWdL4JjeoMvVQ,@Anassadiq-k7m,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
Ugw2Q8lOkcwiHbgmyQN4AaABAg,XjdpRqIay6E,"<a href=""https://www.youtube.com/watch?v=XjdpRqIay6E&amp;t=109"">1:49</a> I CANT AHAHAHAHAHAHAA",2026-04-10T06:40:35Z,1,0,UCR9kr1Kl47zGfpAer-l3DNg,@AbdulRashid-k6l,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgxMak6hGo3gx9rGMYN4AaABAg,XjdpRqIay6E,C est les filles qui ont les pouvoirs ❤❤❤❤,2025-10-27T12:21:47Z,19,0,UCC1COtRyQvcGaYUke_wU5fQ,@nicolatseric,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgwKF8Mh7-EKvFR3T2t4AaABAg,XjdpRqIay6E,i remember screaming so loud w my friend that my parents were worried sick😭,2026-01-26T03:14:11Z,20,1,UCFlhuE9S9idoYjC_B5o6peA,@rozplwush,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
Ugzmhbs6napwy3v7UBJ4AaABAg,XjdpRqIay6E,yes billie,2025-05-07T06:23:49Z,41,0,UCofJiEV7OZfPUmb9Miaj_4A,@cindyliu5778,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgzdeLhHMR0nFn7uLPh4AaABAg,XjdpRqIay6E,LEGENDS!!!,2025-12-03T17:06:36Z,11,0,UCxyu375QHzqHZzBAzs8emug,@Alex-pk5ze,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
Ugx8oMreXk-LCtjvMS14AaABAg,XjdpRqIay6E,Hollyyyyy shitttttt that&#39;s hotttttttt,2026-04-16T12:14:06Z,1,0,UC104Tr72gDyNCIr5V78yMfw,@petrahalawi,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgzxDYWOdzP_ccqrOaR4AaABAg,XjdpRqIay6E,OH. MY. GOD.🥵,2026-02-13T00:23:33Z,6,0,UCgaZI94-AtMfsE-5H3twa3A,@Billiefan1812,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgyDA1LDucikJJih6sN4AaABAg,XjdpRqIay6E,YEAHHH SUMMON THE PRETTY DEMON &lt;3,2025-10-01T04:16:00Z,18,0,UC6jSYRV_iterAeFr3B3gSlQ,@weldplaylist,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
Ugx_tpVnGEEixiw8z3B4AaABAg,XjdpRqIay6E,This is sooo great ❤,2026-03-05T02:13:50Z,2,0,UCfwdI2Gc8YAjQzrYALhPqBw,@PatrykSobczak,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgyTk0gQWRiqEI4-11N4AaABAg,XjdpRqIay6E,Best duo😂,2026-04-10T06:29:50Z,2,0,UC3CKvbr4OxnLSMkG1eXuPrQ,@Tortillaexplore,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgweKmf6lm6swD2m83Z4AaABAg,XjdpRqIay6E,Ayyy its like a party,2026-03-03T10:40:38Z,2,0,UCVlvwpnrwjcCW-d8sk1QFGA,@SeharM19,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgzjuI9kudecp3bEKXt4AaABAg,XjdpRqIay6E,좋네요 ㅎ,2026-02-18T02:10:13Z,2,0,UC4Ioc2qA6-kHJriGKNToKLw,@코스모스-u4l6c,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
Ugxvd7qawDyuAZjps8h4AaABAg,XjdpRqIay6E,Why are these singers so rich when they can&#39;t even handle do one live performance?,2026-04-01T02:58:12Z,5,0,UCyYDG4Rgzo0GcIVfNijfvFQ,@LuizOctáviodeSanctis,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgzNeKyTzQlEDTHkvvh4AaABAg,XjdpRqIay6E,🥰🥰🥰🥰😍,2026-01-20T14:44:23Z,4,0,UCLikqs4pMBvEAhcfA0W9zVg,@idely894,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
UgzyBS3BjwZpMur-Crd4AaABAg,XjdpRqIay6E,J&#39;adore ❤❤❤🎉🎉🎉,2025-10-27T12:20:05Z,7,0,UCC1COtRyQvcGaYUke_wU5fQ,@nicolatseric,"Charli XCX & Billie Eilish - ""Guess"" (Remix) Live at Coachella 2025",Billie Eilish live performance,2026-05-02 05:30:36
