source_file,source_row,comment_id,post_id,comment_text,title_youtube,source_query,labeled_at,temperature_group
batch_147_1777698212.csv,908,UgywDjC-1uAD9ChnyCl4AaABAg,PtQ67j5cmK8,"We haven’t heard or seen him bc it was meant to be Kang, but instead of recasting they went with a Supervillain Recast.",Avengers Doomsday Could Be Marvel’s BIGGEST Flop Ever!  $1B Budget Risk,box office flop movie,2026-05-03T06:00:42.972246+00:00,1.0
batch_100_1777697859.csv,459,UgzyqgyR0x-JpTkBqqJ4AaABAg,cjGNdXGYJgA,Godcrafted hairline,Normal - Movie Review,movie review,2026-05-02T21:00:42.851890+00:00,1.0
batch_248_1777698928.csv,1009,UgzyTj_P8u5K3e8VMut4AaABAg,Pwu-Kv-1uAs,🔥🔥🔥🔥,Adele - Set Fire To The Rain Live at The Royal Albert Hall HQ 4K,Adele live performance,2026-05-03T04:00:07.903938+00:00,1.0
batch_9_1777697214.csv,1107,UgzuN_x6NHvIutsH2Yh4AaABAg,DbfV7b-RAEY,My favourite band of all time. Keep on going Willy..🙏🥰🌈🎶🎸,The Highwaymen Live - American Outlaws | Full Concert,live concert performance,2026-05-03T04:09:35.087371+00:00,1.0
batch_67_1777697634.csv,356,UgzYblj4zTtlH-FFuhp4AaABAg,Su6kidaGW_8,Literally coming back six months later and still getting goosebumps…. I’m so lost and so gobsmacked,Justin Bieber: Tiny Desk (Home) Concert,live session performance,2026-05-03T03:38:26.518857+00:00,1.0
batch_3_1777697150.csv,409,UgzayRDrnqU7eqw5g9F4AaABAg,VoaZizY0TEM,its so relaxing for studying 🤟,Spotify Hits 2026 - Trending Pop Hits 2026 🎧  Top Music 2026 Playlist 🎵 Latest Songs 2026,trending hit playlist,2026-05-03T02:53:25.446077+00:00,1.0
batch_10_1777697221.csv,713,Ugzmqo_TUEq2g71iXn54AaABAg,yHDBGBCUWGY,Stunning 😍,Rihanna - Diamonds (Live on The Concert For Valor) 4K,live concert performance,2026-05-02T22:42:53.663330+00:00,1.0
batch_77_1777697704.csv,450,UgwFY6l7f1_QRL9fXf14AaABAg,oVvfWcmv-Hc,I have always loved how the filmed from behind the drummer! You don&#39;t get to see from that perspective very often. Great reaction guys!😊,First Time Hearing METALLICA – WE FINALLY GET THE HYPE | Enter Sandman Reaction,reaction to music video,2026-05-03T05:33:43.271198+00:00,1.0
batch_117_1777697978.csv,1122,UgyuNkXERoby9jZ1a7V4AaABAg,bGoiF4JvmHM,The narrator would make a great politician.,Excavating the Exorcist (film analysis),movie analysis,2026-05-03T00:10:06.292879+00:00,1.0
batch_136_1777698125.csv,1063,UgzdpV9LvV6pAvL1bL94AaABAg,hlzTfuFrdKk,"<a href=""https://www.youtube.com/watch?v=hlzTfuFrdKk&amp;t=321"">5:21</a> the way walker look at her immediately 😂❤",Percy Jackson Cast Spill Their Secrets In 'The Tower Of Truth',cast interview movie,2026-05-03T03:54:11.895331+00:00,1.0
