source_file,source_row,comment_id,post_id,comment_text,title_youtube,source_query,labeled_at,temperature_group
batch_222_1777698732.csv,183,Ugy86h6cZghE4O2scxt4AaABAg,RM1Iy0FKKd0,Overall a very nice introduction to Nine circles levels.,"Problematic, but with a difficulty meter...",problematic song,,0.0
batch_150_1777698236.csv,413,UgxxZhrAK7rpVVIongh4AaABAg,refL0XlBJm8,"This kind of mistake is what happens when your company is run by sloppy, incompetent, amateurs who are so obsessed with their agenda, they cant do the minimum amount to keep from being negligent. Selfish, entitled children who never think about anyone or anything but themselves, leave a mess everywhere they go....",Lucasfilm Gets SUED Over Indiana Jones | Huge Box Office FLOP Gets Even WORSE For Disney,box office flop movie,,0.0
batch_272_1777699129.csv,796,UgyhD3DfX0ezaZaTB0d4AaABAg,XKPAzTPsWrw,These visuals are everything,Ariana Grande - twilight zone,Ariana Grande official music video,,0.0
batch_33_1777697390.csv,1151,UgzkBJfgaw39ZX2aYLZ4AaABAg,_SdshlZk-po,we love you Freya and incredibly proud,Freya Skye - golden boy (Stars Align Tour: Live from London),tour live performance,,0.0
batch_322_1777699519.csv,478,UggvnEDD3ic18XgCoAEC,nnReaaJwloI,Currently pregnant with my first baby...<br>Perching on a chair like that is the only way I&#39;m comfortable at the minute (I&#39;m about her size) as you her terrible back/leg cramp!<br>Kudos to her for doing this whole performance! I&#39;m exhausted at the minute.,Beyoncé - I Care (Live at Roseland),Beyonce live performance,,0.0
batch_29_1777697359.csv,1133,UgzJjIpqa5BexNGnEER4AaABAg,P5JLMp08GC0,"Somebody should tell the editor of this video that saturation values lower than 100 are not only acceptable, but also very much desirable.",[FULL • 4K] Taylor Swift • The 1989 World Tour Live (Remastered) • EAS Channel,tour live performance,,0.0
batch_343_1777699691.csv,1114,Ugx6s-oWlKNTT3-E7894AaABAg,cnGW8NR-toE,Billie eilish: likes ladder (high ladders)<br>Me:scare at heights,Billie Eilish - Bored (Official Music Video),Billie Eilish official music video,,0.0
batch_159_1777698310.csv,1034,UgznvkN48fjnbrSeBDV4AaABAg,3syUejwzd3Q,"&quot;The lion head just flies into the wall and dies, and then turns into a snickers bar&quot;<br>Best line ever",What the HELL is Joshua and the Promised Land? (The WORST Animated Movie Ever),worst movie ever,,0.0
batch_333_1777699623.csv,262,Ugy4-NhEmawPnJ3aFRR4AaABAg,238BJdgmHas,People often say Beyoncé is overrated but I think she’s the biggest underrated artist of all time,BEYONCÉ BRINGS THE ATTITUDE!!! | Beyoncé & Jay-Z *LIVE* On The Run Tour 2014 | FIRST TIME REACTION!!,Beyonce reaction,,0.0
batch_350_1777699739.csv,772,Ugw1g9g30onx-cvZseJ4AaABAg,_IjWFq1c5M4,She&#39;s just exceptional ❤❤❤,Billie Eilish - BLUE (Official Lyric Video),Billie Eilish official music video,,0.0
batch_52_1777697527.csv,1058,UgxE1ZiSXN_CMbtlFap4AaABAg,xAWDqdpOlu8,"Her voice is incredible. The backups singers perfectly blend. She is such an amazing performer, I’ve been watching this on a loop and singing along for hours. Unreal",Billie Eilish – WILDFLOWER (Live Performance from Amazon Music’s Songline),live session performance,,0.0
batch_343_1777699691.csv,300,Ugx3IVEI6IRT5WmOfJd4AaABAg,Ah0Ys50CqO8,I like the spider that comes out of her mouth,Billie Eilish - you should see me in a crown (Vertical Video),Billie Eilish official music video,,0.0
